CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,CustomerStatus,ComplainReceived,WarehouseToHomeRange,TenureRange,CashbackAmountRange
51575,1,0,Mobile Phone,1,16,Credit Card,Male,2,4,Mobile Phone,1,Single,2,1,13,0,1,1,124,Churned,Yes,Close distance,6 Months,Moderate Cashback Amount
51576,0,25,Mobile Phone,1,8,Debit Card,Female,2,4,Mobile Phone,1,Single,8,0,15,2,2,2,132,Retained,No,Very close distance,more than 2 years,Moderate Cashback Amount
51577,0,15,Mobile Phone,1,10,Cash on Delivery,Male,2,3,Others,1,Married,2,0,16,0,11,15,292,Retained,No,Very close distance,2 Years,High Cashback Amount
51578,0,10,Mobile Phone,2,12,Credit Card,Male,2,3,Mobile Phone,3,Married,9,0,17,0,2,2,123,Retained,No,Close distance,1 Year,Moderate Cashback Amount
51579,0,23,Mobile Phone,3,6,Credit Card,Female,3,3,Others,1,Married,4,0,16,1,1,6,295,Retained,No,Very close distance,2 Years,High Cashback Amount
51580,1,0,Mobile Phone,1,16,Credit Card,Male,2,3,Mobile Phone,1,Married,6,1,13,1,1,4,124,Churned,Yes,Close distance,6 Months,Moderate Cashback Amount
51581,0,16,Mobile Phone,3,22,E wallet,Female,3,3,Grocery,1,Married,6,1,22,0,3,9,261,Retained,Yes,Moderate distance,2 Years,High Cashback Amount
51582,1,0,Mobile Phone,1,8,Debit Card,Female,3,3,Mobile Phone,5,Married,8,0,20,1,1,7,127,Churned,No,Very close distance,6 Months,Moderate Cashback Amount
51583,0,25,Computer,3,8,Debit Card,Male,3,4,Others,3,Single,2,1,18,2,15,12,291,Retained,Yes,Very close distance,more than 2 years,High Cashback Amount
51584,0,5,Mobile Phone,3,10,Debit Card,Female,2,3,Mobile Phone,4,Married,3,0,11,1,1,2,139,Retained,No,Very close distance,6 Months,Moderate Cashback Amount
51585,1,0,Mobile Phone,1,6,Debit Card,Male,3,4,Mobile Phone,3,Single,1,1,14,0,1,2,137,Churned,Yes,Very close distance,6 Months,Moderate Cashback Amount
51586,0,10,Mobile Phone,1,6,Credit Card,Female,3,3,Mobile Phone,3,Married,8,0,14,1,1,2,122,Retained,No,Very close distance,1 Year,Moderate Cashback Amount
51587,0,5,Computer,3,32,E wallet,Male,3,3,Laptop & Accessory,1,Married,1,0,18,2,2,2,145,Retained,No,Far distance,6 Months,Moderate Cashback Amount
51588,0,14,Mobile Phone,1,25,Debit Card,Male,3,3,Laptop & Accessory,5,Married,3,0,16,0,1,0,131,Retained,No,Moderate distance,2 Years,Moderate Cashback Amount
51589,0,13,Mobile Phone,1,30,Cash on Delivery,Male,3,3,Laptop & Accessory,1,Married,2,0,17,2,4,7,133,Retained,No,Moderate distance,2 Years,Moderate Cashback Amount
51590,0,18,Mobile Phone,1,6,UPI,Male,3,1,Others,1,Married,1,0,16,1,1,7,292,Retained,No,Very close distance,2 Years,High Cashback Amount
51591,0,4,Computer,1,9,Credit Card,Male,3,3,Fashion,3,Married,10,0,12,2,3,2,237,Retained,No,Very close distance,6 Months,High Cashback Amount
51592,0,6,Mobile Phone,1,11,Debit Card,Female,3,4,Mobile Phone,1,Married,2,0,13,0,1,2,129,Retained,No,Close distance,6 Months,Moderate Cashback Amount
51593,0,7,Mobile Phone,1,8,Debit Card,Male,2,4,Laptop & Accessory,5,Married,7,0,13,0,5,9,160,Retained,No,Very close distance,1 Year,Moderate Cashback Amount
51594,0,10,Mobile Phone,1,6,Credit Card,Female,2,4,Mobile Phone,5,Married,3,0,14,0,1,2,139,Retained,No,Very close distance,1 Year,Moderate Cashback Amount
51595,0,18,Computer,1,13,Debit Card,Male,3,1,Laptop & Accessory,3,Married,5,0,17,1,1,2,164,Retained,No,Close distance,2 Years,Moderate Cashback Amount
51596,1,0,Computer,1,16,Credit Card,Male,3,3,Fashion,3,Married,7,0,11,0,1,0,200,Churned,No,Close distance,6 Months,Moderate Cashback Amount
51597,0,12,Computer,1,8,Cash on Delivery,Female,3,3,Fashion,3,Single,1,0,25,6,11,5,209,Retained,No,Very close distance,1 Year,High Cashback Amount
51598,0,2,Mobile Phone,1,16,Debit Card,Male,2,3,Mobile Phone,1,Single,2,0,19,1,1,5,123,Retained,No,Close distance,6 Months,Moderate Cashback Amount
51599,0,15,Mobile Phone,1,23,Debit Card,Female,2,1,Laptop & Accessory,5,Single,4,1,13,1,1,2,165,Retained,Yes,Moderate distance,2 Years,Moderate Cashback Amount
51600,0,2,Mobile Phone,3,26,E wallet,Male,2,3,Laptop & Accessory,1,Married,3,0,14,1,1,2,169,Retained,No,Moderate distance,6 Months,Moderate Cashback Amount
51601,0,0,Mobile Phone,1,6,Debit Card,Female,3,3,Laptop & Accessory,3,Married,1,0,12,1,1,2,149,Retained,No,Very close distance,6 Months,Moderate Cashback Amount
51602,0,15,Mobile Phone,1,16,Credit Card,Female,2,4,Mobile Phone,5,Married,1,1,11,7,7,8,126,Retained,Yes,Close distance,2 Years,Moderate Cashback Amount
51603,0,13,Mobile Phone,1,8,Credit Card,Male,2,3,Others,3,Married,1,0,16,3,3,9,294,Retained,No,Very close distance,2 Years,High Cashback Amount
51604,0,24,Mobile Phone,1,6,Debit Card,Male,3,3,Mobile Phone,1,Married,2,0,11,1,1,0,127,Retained,No,Very close distance,2 Years,Moderate Cashback Amount
51605,1,0,Computer,1,35,Credit Card,Male,3,4,Mobile Phone,4,Single,1,0,11,0,1,4,135,Churned,No,Far distance,6 Months,Moderate Cashback Amount
51606,0,5,Computer,1,13,Debit Card,Male,3,1,Mobile Phone,4,Married,2,0,20,0,1,3,128,Retained,No,Close distance,6 Months,Moderate Cashback Amount
51607,0,11,Computer,3,8,Debit Card,Male,2,4,Laptop & Accessory,1,Married,4,0,18,1,7,5,152,Retained,No,Very close distance,1 Year,Moderate Cashback Amount
51608,0,10,Mobile Phone,1,8,Cash on Delivery,Male,2,4,Laptop & Accessory,5,Single,5,0,13,0,1,4,122,Retained,No,Very close distance,1 Year,Moderate Cashback Amount
51609,0,19,Mobile Phone,3,8,Cash on Delivery,Female,3,5,Grocery,4,Married,4,1,12,2,7,7,269,Retained,Yes,Very close distance,2 Years,High Cashback Amount
51610,1,0,Mobile Phone,1,8,Debit Card,Male,3,3,Mobile Phone,3,Single,3,0,11,0,1,0,135,Churned,No,Very close distance,6 Months,Moderate Cashback Amount
51611,0,2,Mobile Phone,3,8,Credit Card,Male,3,4,Laptop & Accessory,4,Married,3,0,19,1,1,0,166,Retained,No,Very close distance,6 Months,Moderate Cashback Amount
51612,0,4,Mobile Phone,1,29,Credit Card,Male,3,4,Laptop & Accessory,1,Married,1,0,21,0,7,8,156,Retained,No,Moderate distance,6 Months,Moderate Cashback Amount
51613,0,0,Computer,1,11,Debit Card,Male,2,1,Laptop & Accessory,5,Married,2,0,12,1,1,5,140,Retained,No,Close distance,6 Months,Moderate Cashback Amount
51614,0,18,Mobile Phone,1,26,Credit Card,Male,3,3,Grocery,1,Married,1,1,14,2,3,10,235,Retained,Yes,Moderate distance,2 Years,High Cashback Amount
51615,0,9,Mobile Phone,1,12,Debit Card,Male,2,3,Mobile Phone,1,Married,1,0,11,1,10,11,132,Retained,No,Close distance,1 Year,Moderate Cashback Amount
51616,0,28,Mobile Phone,1,6,Credit Card,Male,2,3,Others,5,Single,1,1,14,2,4,13,290,Retained,Yes,Very close distance,more than 2 years,High Cashback Amount
51617,1,10,Computer,1,35,Debit Card,Male,2,3,Fashion,4,Married,2,1,12,4,9,5,218,Churned,Yes,Far distance,1 Year,High Cashback Amount
51618,0,10,Mobile Phone,1,15,Credit Card,Male,3,3,Mobile Phone,1,Married,2,0,23,1,1,4,121,Retained,No,Close distance,1 Year,Moderate Cashback Amount
51619,0,10,Mobile Phone,3,12,Credit Card,Male,3,3,Laptop & Accessory,1,Married,5,0,14,1,1,1,165,Retained,No,Close distance,1 Year,Moderate Cashback Amount
51620,0,0,Mobile Phone,1,9,Credit Card,Male,3,4,Mobile Phone,3,Single,2,0,17,1,1,0,132,Retained,No,Very close distance,6 Months,Moderate Cashback Amount
51621,0,10,Computer,1,6,Credit Card,Female,3,3,Fashion,1,Married,3,1,18,0,3,2,236,Retained,Yes,Very close distance,1 Year,High Cashback Amount
51622,0,8,Mobile Phone,1,28,Debit Card,Female,3,1,Fashion,4,Married,8,0,18,5,6,5,220,Retained,No,Moderate distance,1 Year,High Cashback Amount
51623,0,11,Mobile Phone,3,13,Credit Card,Female,2,1,Laptop & Accessory,5,Married,2,1,24,4,7,7,156,Retained,Yes,Close distance,1 Year,Moderate Cashback Amount
51624,0,0,Computer,1,6,Debit Card,Female,2,3,Laptop & Accessory,4,Married,2,0,20,1,1,4,164,Retained,No,Very close distance,6 Months,Moderate Cashback Amount
51625,0,23,Mobile Phone,1,10,Debit Card,Male,3,3,Others,4,Married,4,0,14,2,1,6,291,Retained,No,Very close distance,2 Years,High Cashback Amount
51626,0,26,Mobile Phone,1,9,Credit Card,Male,2,3,Grocery,3,Married,4,1,16,2,1,3,276,Retained,Yes,Very close distance,more than 2 years,High Cashback Amount
51627,0,15,Mobile Phone,3,6,Debit Card,Male,1,3,Laptop & Accessory,3,Married,2,0,25,6,11,6,149,Retained,No,Very close distance,2 Years,Moderate Cashback Amount
51628,0,2,Computer,3,8,Debit Card,Male,2,3,Laptop & Accessory,1,Single,2,0,18,0,1,9,146,Retained,No,Very close distance,6 Months,Moderate Cashback Amount
51629,0,28,Mobile Phone,1,26,Cash on Delivery,Male,2,3,Laptop & Accessory,1,Married,4,1,19,0,1,8,154,Retained,Yes,Moderate distance,more than 2 years,Moderate Cashback Amount
51630,0,0,Computer,1,17,Credit Card,Male,2,3,Laptop & Accessory,5,Married,2,1,13,1,3,3,147,Retained,Yes,Close distance,6 Months,Moderate Cashback Amount
51631,0,10,Mobile Phone,1,6,Debit Card,Female,2,3,Mobile Phone,1,Single,2,0,12,1,5,7,121,Retained,No,Very close distance,1 Year,Moderate Cashback Amount
51632,1,7,Computer,1,30,Debit Card,Male,3,3,Mobile Phone,3,Married,4,1,22,0,1,0,132,Churned,Yes,Moderate distance,1 Year,Moderate Cashback Amount
51633,0,11,Mobile Phone,1,29,Debit Card,Male,2,3,Laptop & Accessory,1,Married,10,0,14,0,1,2,157,Retained,No,Moderate distance,1 Year,Moderate Cashback Amount
51634,1,0,Mobile Phone,1,16,Credit Card,Male,2,3,Mobile Phone,4,Married,3,1,13,1,1,2,124,Churned,Yes,Close distance,6 Months,Moderate Cashback Amount
51635,0,1,Mobile Phone,1,14,Debit Card,Female,3,3,Mobile Phone,1,Single,2,0,21,1,1,2,133,Retained,No,Close distance,6 Months,Moderate Cashback Amount
51636,0,22,Computer,1,16,Debit Card,Female,2,3,Others,5,Single,10,1,11,2,1,2,287,Retained,Yes,Close distance,2 Years,High Cashback Amount
51637,0,9,Mobile Phone,1,9,Cash on Delivery,Male,1,3,Laptop & Accessory,4,Single,5,0,12,2,7,7,145,Retained,No,Very close distance,1 Year,Moderate Cashback Amount
51638,0,4,Computer,3,11,E wallet,Female,3,3,Mobile Phone,4,Married,2,0,11,0,2,2,128,Retained,No,Close distance,6 Months,Moderate Cashback Amount
51639,1,0,Mobile Phone,3,10,E wallet,Male,2,4,Laptop & Accessory,1,Single,2,1,12,4,7,4,158,Churned,Yes,Very close distance,6 Months,Moderate Cashback Amount
51640,0,10,Computer,1,16,Credit Card,Male,2,3,Mobile Phone,1,Married,2,1,12,0,1,2,123,Retained,Yes,Close distance,1 Year,Moderate Cashback Amount
51641,0,15,Computer,3,32,E wallet,Female,3,3,Grocery,4,Married,6,0,14,3,3,8,235,Retained,No,Far distance,2 Years,High Cashback Amount
51642,1,10,Mobile Phone,1,9,Debit Card,Male,2,3,Mobile Phone,3,Single,2,0,13,1,1,0,114,Churned,No,Very close distance,1 Year,Moderate Cashback Amount
51643,0,8,Mobile Phone,3,22,E wallet,Male,3,3,Fashion,4,Married,1,0,15,3,6,9,180,Retained,No,Moderate distance,1 Year,Moderate Cashback Amount
51644,0,9,Computer,1,24,Debit Card,Male,2,1,Mobile Phone,1,Married,5,0,18,1,1,0,137,Retained,No,Moderate distance,1 Year,Moderate Cashback Amount
51645,0,24,Mobile Phone,1,8,Credit Card,Male,2,5,Laptop & Accessory,4,Married,6,0,18,0,1,2,155,Retained,No,Very close distance,2 Years,Moderate Cashback Amount
51646,0,14,Mobile Phone,3,8,Debit Card,Male,2,3,Grocery,4,Single,2,0,19,1,3,4,260,Retained,No,Very close distance,2 Years,High Cashback Amount
51647,0,10,Mobile Phone,3,16,Credit Card,Female,3,4,Mobile Phone,3,Single,2,0,12,0,1,0,112,Retained,No,Close distance,1 Year,Moderate Cashback Amount
51648,0,1,Mobile Phone,1,22,Credit Card,Male,3,1,Laptop & Accessory,5,Single,1,0,19,0,1,7,157,Retained,No,Moderate distance,6 Months,Moderate Cashback Amount
51649,0,4,Mobile Phone,3,13,Cash on Delivery,Male,3,1,Laptop & Accessory,1,Married,5,0,11,3,7,7,169,Retained,No,Close distance,6 Months,Moderate Cashback Amount
51650,0,12,Mobile Phone,1,6,Credit Card,Male,2,1,Fashion,1,Married,1,0,17,1,3,7,196,Retained,No,Very close distance,1 Year,Moderate Cashback Amount
51651,0,9,Computer,1,30,Debit Card,Female,2,3,Laptop & Accessory,4,Married,8,0,15,1,1,8,157,Retained,No,Moderate distance,1 Year,Moderate Cashback Amount
51652,0,5,Mobile Phone,3,13,Debit Card,Male,3,4,Laptop & Accessory,3,Married,2,0,14,3,4,8,155,Retained,No,Close distance,6 Months,Moderate Cashback Amount
51653,0,11,Mobile Phone,1,31,Debit Card,Female,2,4,Fashion,4,Married,4,0,17,0,1,5,221,Retained,No,Far distance,1 Year,High Cashback Amount
51654,0,30,Computer,1,6,Debit Card,Male,2,5,Laptop & Accessory,3,Married,3,1,13,1,1,2,157,Retained,Yes,Very close distance,more than 2 years,Moderate Cashback Amount
51655,0,4,Mobile Phone,1,11,Cash on Delivery,Male,2,3,Mobile Phone,1,Married,1,1,12,1,1,3,148,Retained,Yes,Close distance,6 Months,Moderate Cashback Amount
51656,0,4,Mobile Phone,2,8,UPI,Male,3,4,Laptop & Accessory,5,Married,4,0,12,0,1,0,164,Retained,No,Very close distance,6 Months,Moderate Cashback Amount
51657,0,18,Computer,1,13,Debit Card,Male,3,3,Fashion,5,Married,2,0,18,2,9,11,152,Retained,No,Close distance,2 Years,Moderate Cashback Amount
51658,0,4,Mobile Phone,1,8,Debit Card,Male,3,3,Mobile Phone,1,Married,1,1,18,2,2,2,127,Retained,Yes,Very close distance,6 Months,Moderate Cashback Amount
51659,0,6,Computer,1,11,Debit Card,Female,3,3,Fashion,4,Married,7,0,11,7,8,5,219,Retained,No,Close distance,6 Months,High Cashback Amount
51660,0,0,Mobile Phone,1,16,Credit Card,Male,3,3,Grocery,5,Married,2,1,14,2,11,10,271,Retained,Yes,Close distance,6 Months,High Cashback Amount
51661,0,16,Computer,1,16,Debit Card,Female,2,3,Mobile Phone,1,Single,1,0,19,0,1,7,125,Retained,No,Close distance,2 Years,Moderate Cashback Amount
51662,0,22,Mobile Phone,1,6,Cash on Delivery,Female,2,4,Grocery,3,Single,8,1,12,0,3,7,240,Retained,Yes,Very close distance,2 Years,High Cashback Amount
51663,1,15,Mobile Phone,1,14,Credit Card,Male,2,4,Laptop & Accessory,4,Married,3,0,15,7,7,7,149,Churned,No,Close distance,2 Years,Moderate Cashback Amount
51664,0,0,Mobile Phone,1,16,Debit Card,Female,2,3,Mobile Phone,4,Single,2,1,12,0,1,2,125,Retained,Yes,Close distance,6 Months,Moderate Cashback Amount
51665,0,5,Mobile Phone,3,14,Cash on Delivery,Female,3,4,Laptop & Accessory,4,Married,2,1,11,11,11,9,152,Retained,Yes,Close distance,6 Months,Moderate Cashback Amount
51666,0,0,Mobile Phone,3,8,Debit Card,Male,3,3,Laptop & Accessory,3,Single,2,1,11,0,1,4,145,Retained,Yes,Very close distance,6 Months,Moderate Cashback Amount
51667,0,4,Mobile Phone,3,13,E wallet,Male,3,3,Laptop & Accessory,1,Married,5,0,12,0,1,7,175,Retained,No,Close distance,6 Months,Moderate Cashback Amount
51668,0,5,Mobile Phone,1,8,Credit Card,Female,3,1,Laptop & Accessory,1,Single,8,0,16,0,1,7,151,Retained,No,Very close distance,6 Months,Moderate Cashback Amount
51669,1,0,Mobile Phone,1,8,Credit Card,Male,2,5,Mobile Phone,1,Married,6,1,13,1,2,2,135,Churned,Yes,Very close distance,6 Months,Moderate Cashback Amount
51670,0,3,Mobile Phone,1,34,Credit Card,Female,3,3,Laptop & Accessory,1,Married,2,0,13,1,1,9,158,Retained,No,Far distance,6 Months,Moderate Cashback Amount
51671,0,4,Computer,1,13,Debit Card,Female,2,4,Fashion,3,Married,2,0,24,7,8,9,189,Retained,No,Close distance,6 Months,Moderate Cashback Amount
51672,0,12,Computer,1,13,Credit Card,Male,2,4,Others,1,Married,2,0,16,6,13,3,293,Retained,No,Close distance,1 Year,High Cashback Amount
51673,1,2,Mobile Phone,3,9,Credit Card,Female,2,3,Laptop & Accessory,3,Married,5,1,18,1,1,0,152,Churned,Yes,Very close distance,6 Months,Moderate Cashback Amount
51674,0,6,Computer,3,16,E wallet,Male,2,4,Laptop & Accessory,1,Single,4,0,14,1,1,1,147,Retained,No,Close distance,6 Months,Moderate Cashback Amount
51675,0,20,Mobile Phone,1,11,Debit Card,Male,2,3,Others,3,Married,5,0,11,2,1,1,283,Retained,No,Close distance,2 Years,High Cashback Amount
51676,0,16,Computer,1,16,Debit Card,Female,2,4,Laptop & Accessory,3,Married,2,0,11,1,1,0,153,Retained,No,Close distance,2 Years,Moderate Cashback Amount
51677,0,0,Computer,3,6,E wallet,Male,3,3,Laptop & Accessory,4,Married,1,1,13,0,1,4,163,Retained,Yes,Very close distance,6 Months,Moderate Cashback Amount
51678,0,27,Computer,1,26,Debit Card,Female,2,3,Laptop & Accessory,3,Single,4,0,12,0,1,3,149,Retained,No,Moderate distance,more than 2 years,Moderate Cashback Amount
51679,0,16,Mobile Phone,1,13,Debit Card,Female,2,3,Fashion,5,Married,9,0,16,1,1,0,200,Retained,No,Close distance,2 Years,Moderate Cashback Amount
51680,0,18,Mobile Phone,1,14,UPI,Male,3,3,Laptop & Accessory,1,Married,10,0,14,8,9,8,137,Retained,No,Close distance,2 Years,Moderate Cashback Amount
51681,0,13,Mobile Phone,3,6,Credit Card,Male,2,5,Laptop & Accessory,1,Married,3,1,22,1,1,2,175,Retained,Yes,Very close distance,2 Years,Moderate Cashback Amount
51682,1,10,Mobile Phone,1,14,UPI,Male,3,5,Mobile Phone,5,Married,2,1,11,0,1,7,121,Churned,Yes,Close distance,1 Year,Moderate Cashback Amount
51683,0,2,Mobile Phone,1,15,UPI,Male,1,4,Mobile Phone,1,Single,1,0,17,1,2,2,140,Retained,No,Close distance,6 Months,Moderate Cashback Amount
51684,0,3,Mobile Phone,3,11,E wallet,Female,1,4,Laptop & Accessory,3,Married,2,0,13,1,1,2,161,Retained,No,Close distance,6 Months,Moderate Cashback Amount
51685,0,0,Mobile Phone,3,14,E wallet,Female,2,3,Laptop & Accessory,4,Married,2,0,18,0,1,7,162,Retained,No,Close distance,6 Months,Moderate Cashback Amount
51686,0,10,Mobile Phone,1,11,Credit Card,Male,3,3,Laptop & Accessory,1,Married,8,0,16,1,1,4,163,Retained,No,Close distance,1 Year,Moderate Cashback Amount
51687,0,11,Mobile Phone,1,21,Debit Card,Male,3,4,Fashion,1,Married,1,1,14,2,2,5,215,Retained,Yes,Moderate distance,1 Year,High Cashback Amount
51688,0,4,Mobile Phone,1,13,Credit Card,Female,2,3,Fashion,1,Single,2,1,14,4,4,10,171,Retained,Yes,Close distance,6 Months,Moderate Cashback Amount
51689,0,2,Mobile Phone,3,16,E wallet,Female,2,4,Laptop & Accessory,4,Married,2,1,14,1,1,7,183,Retained,Yes,Close distance,6 Months,Moderate Cashback Amount
51690,0,8,Mobile Phone,1,11,Cash on Delivery,Male,3,3,Fashion,4,Single,1,0,13,1,1,13,181,Retained,No,Close distance,1 Year,Moderate Cashback Amount
51691,0,0,Mobile Phone,1,32,Debit Card,Male,3,3,Mobile Phone,1,Married,2,0,12,0,1,2,129,Retained,No,Far distance,6 Months,Moderate Cashback Amount
51692,0,14,Mobile Phone,1,12,Credit Card,Male,3,4,Laptop & Accessory,4,Single,7,1,15,1,1,2,160,Retained,Yes,Close distance,2 Years,Moderate Cashback Amount
51693,0,20,Computer,3,10,Credit Card,Male,3,3,Laptop & Accessory,3,Single,4,0,19,0,1,0,130,Retained,No,Very close distance,2 Years,Moderate Cashback Amount
51694,0,15,Mobile Phone,1,29,Debit Card,Female,2,3,Grocery,1,Single,3,0,14,0,3,0,260,Retained,No,Moderate distance,2 Years,High Cashback Amount
51695,0,2,Computer,3,8,Debit Card,Male,3,3,Laptop & Accessory,3,Married,2,0,14,1,1,2,146,Retained,No,Very close distance,6 Months,Moderate Cashback Amount
51696,0,15,Mobile Phone,2,8,Cash on Delivery,Male,3,3,Mobile Phone,3,Married,1,1,11,1,1,0,127,Retained,Yes,Very close distance,2 Years,Moderate Cashback Amount
51697,0,5,Mobile Phone,1,16,Credit Card,Female,3,3,Mobile Phone,4,Married,2,0,13,0,1,7,124,Retained,No,Close distance,6 Months,Moderate Cashback Amount
51698,0,21,Mobile Phone,3,35,Credit Card,Female,3,3,Fashion,3,Married,4,0,21,0,1,5,225,Retained,No,Far distance,2 Years,High Cashback Amount
51699,0,10,Mobile Phone,1,12,Credit Card,Male,2,1,Laptop & Accessory,5,Married,5,1,13,6,6,7,160,Retained,Yes,Close distance,1 Year,Moderate Cashback Amount
51700,0,3,Computer,3,31,Cash on Delivery,Female,2,3,Laptop & Accessory,3,Married,8,1,12,2,2,2,147,Retained,Yes,Far distance,6 Months,Moderate Cashback Amount
51701,0,0,Mobile Phone,3,6,Debit Card,Male,2,3,Laptop & Accessory,3,Married,2,0,17,0,7,7,153,Retained,No,Very close distance,6 Months,Moderate Cashback Amount
51702,0,15,Mobile Phone,1,8,UPI,Male,3,4,Laptop & Accessory,1,Single,4,0,23,1,1,0,168,Retained,No,Very close distance,2 Years,Moderate Cashback Amount
51703,1,10,Computer,3,6,Cash on Delivery,Female,3,4,Mobile Phone,4,Single,2,1,11,1,1,2,122,Churned,Yes,Very close distance,1 Year,Moderate Cashback Amount
51704,0,9,Computer,3,6,Credit Card,Female,2,3,Laptop & Accessory,1,Single,5,0,15,1,1,0,167,Retained,No,Very close distance,1 Year,Moderate Cashback Amount
51705,0,9,Computer,3,9,Credit Card,Male,2,4,Fashion,1,Married,5,0,11,0,1,12,197,Retained,No,Very close distance,1 Year,Moderate Cashback Amount
51706,0,30,Mobile Phone,1,6,Credit Card,Male,2,3,Laptop & Accessory,3,Married,3,0,11,0,1,2,168,Retained,No,Very close distance,more than 2 years,Moderate Cashback Amount
51707,0,10,Mobile Phone,1,16,Debit Card,Female,2,1,Mobile Phone,3,Married,4,1,13,0,1,7,122,Retained,Yes,Close distance,1 Year,Moderate Cashback Amount
51708,0,0,Computer,3,16,Credit Card,Male,2,3,Mobile Phone,1,Single,2,0,24,2,2,2,126,Retained,No,Close distance,6 Months,Moderate Cashback Amount
51709,1,0,Mobile Phone,3,11,E wallet,Female,3,3,Mobile Phone,3,Single,2,1,13,0,1,0,129,Churned,Yes,Close distance,6 Months,Moderate Cashback Amount
51710,0,10,Mobile Phone,1,16,Credit Card,Female,3,3,Mobile Phone,5,Married,7,0,20,1,1,3,135,Retained,No,Close distance,1 Year,Moderate Cashback Amount
51711,0,19,Computer,1,13,Credit Card,Female,1,3,Laptop & Accessory,3,Married,3,0,14,1,1,0,153,Retained,No,Close distance,2 Years,Moderate Cashback Amount
51712,1,4,Computer,3,10,E wallet,Male,2,3,Laptop & Accessory,4,Single,2,0,18,4,7,7,194,Churned,No,Very close distance,6 Months,Moderate Cashback Amount
51713,0,23,Mobile Phone,1,16,Cash on Delivery,Male,3,4,Fashion,1,Single,7,0,15,1,1,3,205,Retained,No,Close distance,2 Years,High Cashback Amount
51714,1,3,Mobile Phone,3,28,E wallet,Male,3,4,Laptop & Accessory,3,Married,3,1,12,1,1,0,164,Churned,Yes,Moderate distance,6 Months,Moderate Cashback Amount
51715,0,4,Mobile Phone,1,16,Debit Card,Male,2,4,Mobile Phone,4,Single,1,1,16,2,2,2,127,Retained,Yes,Close distance,6 Months,Moderate Cashback Amount
51716,1,0,Mobile Phone,3,18,Debit Card,Female,3,1,Mobile Phone,4,Single,2,0,15,0,1,0,127,Churned,No,Close distance,6 Months,Moderate Cashback Amount
51717,0,10,Mobile Phone,1,29,Debit Card,Male,2,3,Mobile Phone,1,Single,10,0,16,0,1,2,122,Retained,No,Moderate distance,1 Year,Moderate Cashback Amount
51718,0,8,Mobile Phone,1,15,Debit Card,Male,3,4,Laptop & Accessory,4,Single,10,0,19,0,1,0,165,Retained,No,Close distance,1 Year,Moderate Cashback Amount
51719,0,0,Mobile Phone,1,6,Credit Card,Male,2,3,Mobile Phone,4,Married,2,0,11,0,1,4,138,Retained,No,Very close distance,6 Months,Moderate Cashback Amount
51720,0,1,Mobile Phone,3,15,Debit Card,Male,3,3,Laptop & Accessory,1,Single,2,0,16,1,1,7,153,Retained,No,Close distance,6 Months,Moderate Cashback Amount
51721,0,22,Mobile Phone,1,13,UPI,Male,2,4,Fashion,3,Single,9,0,24,1,1,5,210,Retained,No,Close distance,2 Years,High Cashback Amount
51722,0,24,Mobile Phone,3,20,Debit Card,Female,2,3,Laptop & Accessory,1,Married,5,0,11,1,1,7,149,Retained,No,Close distance,2 Years,Moderate Cashback Amount
51723,0,9,Mobile Phone,1,16,Debit Card,Female,3,3,Mobile Phone,3,Married,5,0,13,2,2,2,125,Retained,No,Close distance,1 Year,Moderate Cashback Amount
51724,1,0,Computer,3,25,E wallet,Male,3,1,Laptop & Accessory,1,Single,9,1,13,0,1,4,153,Churned,Yes,Moderate distance,6 Months,Moderate Cashback Amount
51725,0,28,Mobile Phone,1,8,Debit Card,Female,3,3,Grocery,1,Single,3,1,13,2,1,2,267,Retained,Yes,Very close distance,more than 2 years,High Cashback Amount
51726,0,0,Mobile Phone,3,16,E wallet,Female,3,3,Laptop & Accessory,3,Married,2,1,12,0,1,3,143,Retained,Yes,Close distance,6 Months,Moderate Cashback Amount
51727,0,3,Mobile Phone,3,16,Cash on Delivery,Male,3,3,Mobile Phone,4,Married,2,0,18,1,1,0,125,Retained,No,Close distance,6 Months,Moderate Cashback Amount
51728,1,0,Computer,1,9,Cash on Delivery,Male,3,3,Mobile Phone,5,Single,1,0,22,0,1,4,131,Churned,No,Very close distance,6 Months,Moderate Cashback Amount
51729,0,10,Mobile Phone,1,17,Credit Card,Female,2,3,Mobile Phone,4,Married,2,0,13,1,1,2,122,Retained,No,Close distance,1 Year,Moderate Cashback Amount
51730,0,9,Mobile Phone,3,8,Credit Card,Male,3,4,Fashion,3,Married,2,0,13,8,9,0,176,Retained,No,Very close distance,1 Year,Moderate Cashback Amount
51731,1,10,Computer,1,10,Cash on Delivery,Male,2,3,Mobile Phone,1,Single,10,1,23,1,1,0,123,Churned,Yes,Very close distance,1 Year,Moderate Cashback Amount
51732,0,10,Mobile Phone,1,20,Debit Card,Female,3,3,Mobile Phone,5,Married,2,0,12,10,12,17,130,Retained,No,Close distance,1 Year,Moderate Cashback Amount
